pl_name,hostname,disc_year,discoverymethod,disc_telescope,ra,dec,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_bmassj,pl_eqt,sy_dist,sy_snum,sy_pnum
OGLE-2016-BLG-1227L b,OGLE-2016-BLG-1227L,2020,Microlensing,1.3 m Warsaw University Telescope,265.597125,-33.759778,,3.4,13.9,250.0,0.79,,,1,1
Kepler-276 c,Kepler-276,2013,Transit,0.95 m Kepler Telescope,293.568197,39.036312,31.884,0.1994,2.9,16.6,0.052,563.0,1144.86,1,3
Kepler-829 b,Kepler-829,2016,Transit,0.95 m Kepler Telescope,282.332831,42.463813,6.883376,0.0678,2.11,5.1,0.016,857.0,1073.76,1,1
K2-283 b,K2-283,2018,Transit,0.95 m Kepler Telescope,13.194368,9.692918,1.921036,0.0291,3.52,12.2,0.0383,1186.0,402.915,1,1
Kepler-477 b,Kepler-477,2016,Transit,0.95 m Kepler Telescope,288.067445,42.355305,11.119907,0.0911,2.07,4.94,0.0155,649.0,367.0,2,1
HD 222155 b,HD 222155,2011,Radial Velocity,1.93 m Telescope,354.502562,48.996019,3999.0,5.14,13.4,581.62598,1.83,,50.6078,1,1
HD 88986 b,HD 88986,2023,Radial Velocity,1.93 m Telescope,154.116687,28.682071,146.05,0.58,2.49,17.2,0.05412,460.0,33.2673,1,1
Kepler-30 b,Kepler-30,2012,Transit,0.95 m Kepler Telescope,285.283648,38.947263,29.33434,0.18,3.9,11.3,0.036,524.0,914.221,1,3
HD 3167 d,HD 3167,2017,Radial Velocity,Multiple Telescopes,8.740149,4.380721,8.4112,0.0763,1.92,4.33,0.01362,859.5,47.2899,1,4
OGLE-2019-BLG-1180L b,OGLE-2019-BLG-1180L,2023,Microlensing,1.3 m Warsaw University Telescope,269.246542,-27.975444,,5.19,13.5,555.24623,1.747,,6070.0,1,1
K2-136 b,K2-136,2017,Transit,0.95 m Kepler Telescope,67.412862,22.882567,7.9752,0.0707,1.014,4.3,0.01353,610.0,59.2474,2,3
LHS 1678 c,LHS 1678,2021,Transit,0.1 m TESS Telescope,68.178987,-39.790874,3.694284,0.0327,0.941,1.4,0.0044,510.904079,19.8782,2,3
LHS 1678 d,LHS 1678,2024,Transit,0.1 m TESS Telescope,68.178987,-39.790874,4.965223,0.04,0.981,0.907,0.00285,462.952134,19.8782,2,3
Kepler-1130 b,Kepler-1130,2016,Transit,0.95 m Kepler Telescope,285.207421,45.384333,5.452982,0.059603,0.8,0.437,0.00137,904.0,249.343,2,3
Kepler-130 b,Kepler-130,2014,Transit,0.95 m Kepler Telescope,288.45059,40.245201,8.457458,0.079,1.02,1.04,0.00328,982.0,316.663,2,3
K2-148 b,K2-148,2018,Transit,0.95 m Kepler Telescope,14.517649,-0.193258,4.38395,0.0454,1.33,2.33,0.00733,,124.458,2,3
